你|nǐ|pronoun|you (singular)|1|1
好|hǎo|adjective|good, fine|1|1
您|nǐn|pronoun|you (polite)|1|1
你们|nǐmen|pronoun|you (plural)|1|1
对不起|duìbuqǐ|verb|to be sorry|1|1
没关系|méi guānxi||that's OK, it doesn't matter|1|1
谢谢|xièxie|verb|to thank|1|2
不|bù||no, not|1|2
不客气|bú kèqi||you're welcome, don't mention it|1|2
再见|zàijiàn|verb|to see you around |1|2
叫|jiào|verb|to call, to be called|1|3
什么|shénme|pronoun|what|1|3
名字|míngzi|noun|name|1|3
我|wǒ|pronoun|I, me|1|3
李月|Lǐ Yuè|proper noun||1|3
是|shì|verb|to be|1|3
老师|lǎoshī|noun|teacher|1|3
吗|ma|particle|used at the end of a question|1|3
学生|xuésheng|noun|student|1|3
人|rén|noun|human, person|1|3
她|tā|pronoun|she, her|1|4
谁|shéi|pronoun|who, whom|1|4
的|de|particle|used after an attribute|1|4
汉语|Hànyǔ|noun|Chinese (language)|1|4
哪|nǎ|pronoun|which|1|4
国|guó|noun|country, nation|1|4
呢|ne|particle|used at the end of question|1|4
他|tā|pronoun|he, him|1|4
同学|tóngxué|noun|classmate|1|4
朋友|péngyou|noun|friend|1|4
中国|Zhōngguó|proper noun|China|1|4
美国|Měiguó|proper noun|America|1|4
家|jiā|noun|family|1|5
有|yǒu|verb|to have, there be|1|5
口|kǒu|measure word|a meas. word for members of families, etc.|1|5
女儿|nǚ'ér|noun|daughter|1|5
几|jǐ|pronoun|how many|1|5
岁|suì|measure word|year (of age)|1|5
了|le|particle|used at the end of or in the middle of a sentence to indicate a change or a new circumstance|1|5
今年|jīnnián|noun|this year|1|5
多|duō|adverb|indicating degree or extent|1|5
大|dà|adjective|(of age) old|1|5
会|huì|mod.|can, to be able to|1|6
说|shuō|verb|to speak, to say|1|6
妈妈|māma|noun|mother|1|6
菜|cài|noun|dish, cuisine|1|6
很|hěn|adverb|very, quite|1|6
好吃|hǎochī|adjective|delicious, tasty|1|6
做|zuò|verb|to make, to produce|1|6
写|xiě|verb|to write|1|6
汉字|Hànzì|noun|Chinese character|1|6
字|zi|noun|character, word|1|6
怎么|zěnme|pronoun|how (indicating nature, condition or manner etc.)|1|6
读|dú|verb|to read|1|6
请|qǐng|verb|(polite) please|1|7
问|wèn|verb|to ask, to inquire|1|7
今天|jīntiān|noun|today|1|7
号|hào|noun|(for date of month) number|1|7
月|yuè|noun|month|1|7
星期|xīngqī|noun|week|1|7
昨天|zuótiān|noun|yesterday|1|7
明天|míngtiān|noun|tomorrow|1|7
去|qù|verb|to go|1|7
学校|xuéxiào|noun|school|1|7
看|kàn|verb|to look at, to watch, to read|1|7
书|shū|noun|book|1|7
想|xiǎng|modal|to want, would like|1|8
喝|hē|verb|to drink|1|8
茶|chá|noun|tea|1|8
吃|chī|verb|to eat|1|8
米饭|mǐfàn|noun|cooked rice|1|8
下午|xiàwǔ|noun|afternoon|1|8
商店|shāngdiàn|noun|shop, store|1|8
买|mǎi|verb|to buy, to purchase|1|8
个|gè|measure word|a general measure word|1|8
杯子|bēizi|noun|cup, glass|1|8
这|zhè|pronoun|this|1|8
多少|duōshǎo|pronoun|how many, how much|1|8
钱|qián|noun|money|1|8
块|kuài|measure word|a unit of money, same as "yuan"|1|8
那|nà|pronoun|that|1|8
小|xiāo|adjective|small. little|1|9
猫|māo|noun|cat|1|9
在|zài|verb|to be in/on/at|1|9
那儿|nàr|pronoun|there|1|9
狗|gǒu|noun|dog|1|9
椅子|yǐzi|noun|chair|1|9
下面|xiàmiàn|noun|under, below|1|9
下|xià|noun|under, below|1|9
在|zài|preposition|in/on/at|1|9
哪儿|nǎr|pronoun|where|1|9
工作|gōngzuò|verb noun|to work; job|1|9
儿子|érzi|noun|son|1|9
医院|yīyuàn|noun|hospital|1|9
医生|yīshēng|noun|doctor|1|9
爸爸|bàba|noun|father|1|9
桌子|zhuōzi|noun|desk, table|1|10
上|shàng|noun|up, above|1|10
电脑|diànnǎo|noun|computer|1|10
和|hé|conjunction|and|1|10
本|běn|measure word|measure word for books|1|10
里|lǐ|noun|inner, inside, interior|1|10
前面|qiánmiàn|noun|front|1|10
后面|hòumiàn|noun|back|1|10
王方|Wáng Fāng|proper noun||1|10
谢朋|Xiè Péng|proper noun||1|10
这儿|zhèr|pronoun|here|1|10
没有|méiyǒu|adverb|there is not|1|10
没|méi|adverb|there is not|1|10
能|néng|mod.|can, may|1|10
坐|zuò|verb|to sit, to be seated|1|10
现在|xiànzài|noun|now|1|11
点|diǎn|measure word|o'clock|1|11
分|fēn|measure word|minute|1|11
中午|zhōngwǔ|noun|noon|1|11
吃饭|chī fàn|verb|to eat a meal|1|11
时侯|shíhou|noun|time, moment|1|11
回|huí|verb|to come/go back, to return|1|11
我们|wǒmen|pronoun|we, us|1|11
电影|diànyǐng|noun|movie|1|11
